project;warehouse;location
CNHI;3CV;AA E1 P1
CNHI;3CV;AA E1 P2
CNHI;3CV;AA E1 P3
CNHI;3CV;AA E1 P4
CNHI;3CV;AA E1 P5
CNHI;3CV;AA E1 P6
CNHI;3CV;AA E1 P7
CNHI;3CV;AA E1 P8
CNHI;3CV;AA E1 P9
CNHI;3CV;AA E1 P10
CNHI;3CV;AA E1 P11
CNHI;3CV;AA E1 P12
CNHI;3CV;AA E1 P13
CNHI;3CV;AA E1 P14
CNHI;3CV;AA E1 P15
CNHI;3CV;AA E1 P16
CNHI;3CV;AA E1 P17
CNHI;3CV;AA E1 P18
