harness_part;internal_part;planned_qty
5802535967;26G002801;250
5802535888;26G003701;117
5802535903;26G003801;117
5802535901;26G003001;10
5802535921;26G002301;10
5802535923;26G003601;10
5802535878;26G003401;10
5802535883;26G003301;63
5802535899;26G003201;90
5802535896;26G003101;45
5802535910;26G002901;117
5802535918;26G002201;9
5802535920;26G002101;27
5802781899;26G004401;9
5802535971;26G004201;9
5802535894;26G003901;117
5802535966;26G004101;63
5802781898;26G004301;9
